tconst	originalTitle	directors	runtimeMinutes
tt0017685	Blonde or Brunette	nm0744514	60
tt0017698	Breakfast at Sunrise	nm0820461	62
tt0017746	Cheating Cheaters	nm0480676	60
tt0017747	The Cheerful Fraud	nm0782682	70
tt0017766	The College Hero	nm0485943	54
tt0017767	The College Widow	nm0562845	67
tt0017809	Devushka s korobkoy	nm0055823	60
tt0017819	Don't Tell the Wife	nm0825596	70
tt0017897	For Ladies Only	nm0499883,nm0671501	57
tt0017906	French Dressing	nm0245385	70
tt0017907	Frisco Sally Levy	nm0064415	70
tt0017928	Get Your Man	nm0002188	63
tt0018019	Husbands for Rent	nm0499883	60
tt0018022	If I Were Single	nm0215877	70
tt0018029	The Irresistible Lover	nm0064415	70
tt0018033	It	nm0046082,nm0903049	72
tt0018058	A Kiss in a Taxi	nm0046082	70
tt0018072	Ladies Must Dress	nm0373511	60
tt0018095	A Little Journey	nm0502752	64
tt0018134	Man Power	nm0046082	60
tt0018164	The Missing Link	nm0718469	70
tt0018183	My Best Girl	nm0853130	80
tt0018194	Naughty But Nice	nm0916224	70
tt0018205	No Place to Go	nm0503777	70
tt0018235	Orchids and Ermine	nm0763453	70
tt0018247	Paid to Love	nm0001328	76
tt0018250	Pajamas	nm0090007	60
tt0018252	Paradise for Two	nm0478441	70
tt0018267	Pleasure Before Business	nm0833965	55
tt0018291	Publicity Madness	nm0712730	60
tt0018297	Quality Street	nm0291548	115
tt0018298	Quarantined Rivals	nm0562845	70
tt0018301	A Racing Romeo	nm0939992	50
tt0018311	The Red Mill	nm0000779	74
tt0018345	Rough House Rosie	nm0833965	66
tt0018355	A Sailor's Sweetheart	nm0045800	60
tt0018357	Sally in Our Alley	nm0485943	56
tt0018459	Swim Girl, Swim	nm0046082	70
tt0018460	Syv dager for Elisabeth	nm0801805	100
tt0018466	Taxi! Taxi!	nm0114266	70
tt0018471	Tell It to the Marines	nm0384276	103
tt0018489	Tiptoes	nm0928214	70
tt0018515	Two Arabian Knights	nm0587277	92
tt0018536	Very Confidential	nm0864006	60
tt0018611	13 Washington Square	nm0114266	60
tt0018621	The Adorable Cheat	nm0454535	59
tt0018653	The Arizona Cyclone	nm0507150	50
tt0018682	Beautiful But Dumb	nm0166730	70
tt0018691	Beware of Bachelors	nm0215877	64
tt0018693	Beware of Married Men	nm0562845	60
tt0018749	The Cardboard Lover	nm0502752	50
tt0018773	The Circus	nm0000122	72
tt0018843	Domestic Troubles	nm0258015	58
tt0018856	Dva druga, model i podruga	nm0691322	60
tt0018861	Easy Come, Easy Go	nm0878338	60
tt0018876	The Farmer's Wife	nm0000033	100
tt0018887	The Fifty-Fifty Girl	nm0046082	70
tt0018894	Five and Ten Cent Annie	nm0215877	60
tt0018941	Give and Take	nm0064415	70
tt0018949	Golf Widows	nm0448915	56
tt0018951	The Good-Bye Kiss	nm0784407	90
tt0019003	His Private Life	nm0878338	50
tt0019013	Home, James	nm0064415	70
tt0019024	Hot News	nm0046082	70
tt0019065	Lady Be Good	nm0908831	70
tt0019067	A Lady of Chance	nm0502752	78
tt0019109	Lonesome	nm0270838	69
tt0019112	Love Hungry	nm0373511	60
tt0019113	Love Me and the World Is Mine	nm0243295	60
tt0019135	Man-Made Women	nm0825596	60
tt0019151	The Matinee Idol	nm0001008	66
tt0019216	None But the Brave	nm0712730	60
tt0019226	Oh Kay!	nm0503777	60
tt0019258	The Patsy	nm0896542	78
tt0019259	Pay as You Enter	nm0045800	55
tt0019280	The Play Girl	nm0744504	60
tt0019292	Prep and Pep	nm0124877	75
tt0019379	Show People	nm0896542	83
tt0019400	The Smart Set	nm0176699	80
tt0019401	So This Is Love	nm0001008	60
tt0019402	Soft Living	nm0864006	60
tt0019405	Someone to Love	nm0428059	58
tt0019417	Sporting Goods	nm0820461	60
tt0019444	Take Me Home	nm0624714	60
tt0019462	That Certain Thing	nm0001008	69
tt0019463	That's My Daddy	nm0628345,nm0219666	60
tt0019478	Tillie's Punctured Romance	nm0840042	57
tt0019524	Varsity	nm0878338	67
tt0019549	Warming Up	nm0628345	80
tt0019568	What a Night!	nm0840042	60
tt0019577	Why Sailors Go Wrong	nm0499883	60
tt0019594	Women They Talk About	nm0045800	60
tt0019676	Barnum Was Right	nm0520419	57
tt0019728	The Broadway Hoofer	nm0002179	63
tt0019789	Courtin' Wildcats	nm0832584	58
tt0019839	The Duke Steps Out	nm0190516	62
tt0019860	The Exalted Flapper	nm0864006	61
tt0019896	Fox Movietone Follies of 1929	nm0124877	80
tt0019901	Frau im Mond	nm0000485	156
tt0019927	The Girl from Woolworth's	nm0064415	60
tt0019932	Glad Rag Doll	nm0002031	70
tt0019991	Hold Your Man	nm0283444	60
tt0020034	It's a Great Life	nm0939992	93
tt0020091	Red Wine	nm0134252	68
tt0020107	The Long, Long Trail	nm0744504	58
tt0020111	The Love Doctor	nm0114266	61
tt0020112	The Love Parade	nm0523932	107
tt0020119	Lovers' Delight	nm0924901	17
tt0020136	The Man and the Moment	nm0280463	75
tt0020163	Menschen am Sonntag	nm0322843,nm0802563,nm0880618,nm0003593,nm0802561	73
tt0020180	Modern Love	nm0372609	60
tt0020209	Naughty Baby	nm0503777	70
tt0020221	Nix on Dames	nm0302368	67
tt0020241	One Hysterical Night	nm0185714	75
tt0020259	Paris' Girls	nm0746008	140
tt0020339	Romance De Luxe	nm0731596	15
tt0020363	The Sap	nm0562845	80
tt0020364	The Saturday Night Kid	nm0840042	63
tt0020365	Saturday's Children	nm0478441	90
tt0020425	So This Is College	nm0939992	98
tt0020454	Stolen Kisses	nm0258015	70
tt0020479	The Taming of the Shrew	nm0853130	63
tt0020493	This Is Heaven	nm0763453	90
tt0020494	This Thing Called Love	nm0825596	72
tt0020527	Two Weeks Off	nm0064415	88
tt0020546	Vénus	nm0580197	100
tt0020585	Why Be Good?	nm0782682	84
tt0020634	Along Came Youth	nm0180987,nm0572851	74
tt0020650	Around the Corner	nm0322688	68
tt0020689	The Big Party	nm0090007	70
tt0020690	The Big Pond	nm0377126	72
tt0020704	The Boudoir Diplomat	nm0821472,nm0820461	68
tt0020763	Children of Pleasure	nm0064600	70
tt0020783	The Concentratin' Kid	nm0744504	57
tt0020797	Crazy That Way	nm0532187	64
tt0020805	Dancing Sweeties	nm0258015	62
tt0020809	Dangerous Nan McGrew	nm0820461	73
tt0020821	The Devil to Pay!	nm0280463	72
tt0020842	Die Drei von der Tankstelle	nm0857949	99
tt0020846	The Dude Wrangler	nm0861703	60
tt0020848	Dumbbells in Ermine	nm0012317	70
tt0020873	Fast and Loose	nm0628345	70
tt0020890	The Flirting Widow	nm0782682	72
tt0020894	Follow Thru	nm0776997,nm0180987	92
tt0020895	Follow the Leader	nm0851537	76
tt0020914	Geld auf der Straße	nm0414985	85
tt0020919	The Girl Said No	nm0939992	93
tt0020925	Her Golden Calf	nm0916224	69
tt0020953	He Knew Women	nm0001890,nm0794973	70
tt0020968	Her Wedding Night	nm0878338	75
tt0020970	Heute nacht - eventuell	nm0256586	86
tt0020977	Hit the Deck	nm0715564	103
tt0020987	Hook Line and Sinker	nm0166836	75
tt0020988	Hot Curves	nm0851537	83
tt0021030	Knowing Men	nm0323325	95
tt0021042	The Lady of Scandal	nm0291548	76
tt0021053	Laughter	nm0195496	85
tt0021057	Leathernecking	nm0166836	79
tt0021062	Let's Go Places	nm0833965	70
tt0021069	The Life of the Party	nm0215877	79
tt0021087	Loose Ankles	nm0928514	69
tt0021100	Love in the Rough	nm0718469	84
tt0021102	Lovin' the Ladies	nm0114266	65
tt0021106	Madam Satan	nm0001124	116
tt0021110	Mammy	nm0002031	84
tt0021133	Maybe It's Love	nm0920074	72
tt0021134	The Medicine Man	nm0671501	66
tt0021153	Monte Carlo	nm0523932	90
tt0021184	Night Work	nm0533074	93
tt0021188	Not Damaged	nm0819546	72
tt0021217	One Romantic Night	nm0825596	73
tt0021245	Personality	nm0373511	67
